,ResponseId,Q120,MainBranch,Age,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,TechList,BuyNewTool,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,AISearchHaveWorkedWith,AISearchWantToWorkWith,AIDevHaveWorkedWith,AIDevWantToWorkWith,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,SOAI,AISelect,AISent,AIAcc,AIBen,AIToolInterested in Using,AIToolCurrently Using,AIToolNot interested in Using,AINextVery different,AINextNeither different nor similar,AINextSomewhat similar,AINextVery similar,AINextSomewhat different,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,ProfessionalTech,Industry,SurveyLength,SurveyEase,ConvertedCompYearly
1665,1666,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Bootstrapping a business;Professional development or self-paced learning from online courses,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum)",Blogs with tips and tricks;How-to videos;Video-based Online Courses;Written Tutorials;Stack Overflow;Certification videos,,14,10,"Developer, full-stack",20 to 99 employees,I have some influence,Investigate,Start a free trial;Visit developer communities like Stack Overflow,India,INR	Indian rupee,2000000.0,Dart;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;SQL;Swift;TypeScript,R;Ruby,Dynamodb;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,BigQuery;Elasticsearch,Amazon Web Services (AWS);Firebase;Google Cloud,Digital Ocean;Heroku;Microsoft Azure,Angular;Express;jQuery;Node.js,Django;Laravel;Next.js;React;Ruby on Rails,Cordova;SwiftUI,,npm,Docker;Kubernetes;Unreal Engine;Visual Studio Solution,Android Studio;Eclipse;IntelliJ IDEA;Netbeans;Notepad++;Visual Studio Code;Xcode,VSCodium,Android;Windows,Android;iOS;iPadOS;MacOS;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Trello,Azure Devops,Mattermost;Microsoft Teams;Skype;Whatsapp;Zoom,,,,,,Stack Overflow;Stack Exchange;Collectives on Stack Overflow,Multiple times per day,Yes,Less than once per month or monthly,"Yes, definitely",It shouldn't change any content created/added by the users.,"No, and I don't plan to",,,,,,,,,,,,Yes,People manager,10.0,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Never,3-5 times a week,,Less than 15 minutes a day,60-120 minutes a day,DevOps function;Microservices;Automated testing,"Information Services, IT, Software Development, or other Technology",Too long,Difficult,24234.0
1817,1818,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Colleague;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);Coding Bootcamp",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Stack Overflow,Udemy;Coursera,12,10,"Developer, back-end","10,000 or more employees",I have little or no influence,,Ask developers I know/work with;Visit developer communities like Stack Overflow,India,INR	Indian rupee,4000000.0,Java;JavaScript;Python;Scala;SQL,Java;Python;Rust;SQL,Dynamodb;PostgreSQL,Cassandra;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS);Microsoft Azure,Spring Boot,Spring Boot,NumPy;Pandas;Scikit-Learn;Spring Framework,Apache Spark;NumPy;Pandas;Scikit-Learn;Spring Framework,Docker;Maven (build tool);Pip;Terraform,Cargo;Docker;Maven (build tool);Pip;Terraform,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Notepad++;Visual Studio Code,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Notepad++;Visual Studio Code,Ubuntu;Windows,Ubuntu;Windows,Confluence,Confluence,Microsoft Teams;Zoom,Microsoft Teams,,,,,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat",,"No, and I don't plan to",,,,,,,,,,,,Yes,Individual contributor,11.0,Agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,1-2 times a week,3-5 times a week,Never,30-60 minutes a day,30-60 minutes a day,DevOps function;Microservices;Automated testing;Observability tools;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Other,Appropriate in length,Neither easy nor difficult,48468.0
1904,1905,I agree,I am a developer by profession,18-24 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Contribute to open-source projects,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Video-based Online Courses,Udemy;Coursera;Udacity,5,3,Data scientist or machine learning specialist,20 to 99 employees,I have some influence,Investigate,Start a free trial,India,INR	Indian rupee,3000000.0,Python,Go;Python,MySQL;PostgreSQL,MySQL;Neo4J;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS);Google Cloud,Flask,Django;Flask,Hugging Face Transformers;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Hugging Face Transformers;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker,Docker,Visual Studio Code,PyCharm;Visual Studio Code,Fedora;Ubuntu;Windows,Fedora;Ubuntu;Windows,,,Microsoft Teams,,ChatGPT,ChatGPT,,,Stack Overflow;Collectives on Stack Overflow,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",,"No, but I plan to soon",Indifferent,,Neither trust nor distrust,,,,,,,,,No,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,36351.0
2715,2716,I agree,I am a developer by profession,18-24 years old,"Employed, full-time",Remote,Hobby;Bootstrapping a business;Professional development or self-paced learning from online courses;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Online challenges (e.g., daily or weekly coding challenges);Click to write Choice 20;Stack Overflow",,8,2,"Developer, full-stack","1,000 to 4,999 employees",I have a great deal of influence,Investigate,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,India,INR	Indian rupee,2500000.0,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;MATLAB;PHP;Python;SQL;TypeScript,Bash/Shell (all shells);C++;Go;HTML/CSS;JavaScript;PHP;SQL,Cloud Firestore;Dynamodb;Elasticsearch;Firebase Realtime Database;MariaDB;MongoDB;MySQL;PostgreSQL;Redis,Cassandra;Cloud Firestore;Dynamodb;Elasticsearch;Firebase Realtime Database;MariaDB;MongoDB;MySQL;Neo4J;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Heroku;Managed Hosting,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Managed Hosting,Express;jQuery;Laravel;Next.js;Node.js;React;Spring Boot;Symfony;WordPress,CodeIgniter;Drupal;Express;FastAPI;Laravel;Node.js;React;Symfony;WordPress,Electron;Hugging Face Transformers;RabbitMQ,Apache Kafka;Hugging Face Transformers;RabbitMQ,Chocolatey;Composer;Docker;GNU GCC;Make;npm;Pip;Yarn,Chocolatey;Composer;Docker;GNU GCC;Kubernetes;Make,Nano;Notepad++;PhpStorm;Visual Studio Code;WebStorm,Nano;Notepad++;PhpStorm;Visual Studio Code;WebStorm,Debian;Ubuntu;Windows,Android;Debian;Ubuntu,Basecamp;Clickup;Jira;Notion;Trello;Wrike,Clickup;Jira;Trello,Cisco Webex Teams;Discord;Google Meet;Microsoft Teams;Skype;Slack;Telegram;Whatsapp;Zoom,Discord;Google Meet;Skype;Slack;Telegram;Whatsapp,ChatGPT;WolframAlpha;You.com,ChatGPT;WolframAlpha,,,Stack Overflow;Stack Exchange;Collectives on Stack Overflow,Multiple times per day,Yes,A few times per week,"Yes, definitely",I think AI can help with Spam or AI can help with searching the answers on Stackoverflow better.,Yes,Favorable,Increase productivity,Neither trust nor distrust,Learning about a codebase;Debugging and getting help;Committing and reviewing code;Deployment and monitoring,Writing code;Documenting code;Debugging and getting help;Testing code,Project planning;Collaborating with teammates ,Documenting code;Testing code,Debugging and getting help,,,Writing code,Yes,Individual contributor,2.0,Strongly disagree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Never,Never,1-2 times a week,30-60 minutes a day,15-30 minutes a day,DevOps function;Observability tools;Continuous integration (CI) and (more often) continuous delivery,"Manufacturing, Transportation, or Supply Chain",Appropriate in length,Easy,30292.0
3066,3067,I agree,I am a developer by profession,18-24 years old,"Employed, full-time",In-person,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Stack Overflow,,6,3,"Developer, back-end","1,000 to 4,999 employees",I have little or no influence,,Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,India,INR	Indian rupee,6000000.0,C++;HTML/CSS;Python;SQL,C++;Python;Rust;TypeScript,Dynamodb;Microsoft SQL Server,,,,,,NumPy;Pandas,,CMake;Make,,CLion;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;PyCharm;Vim,CLion;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;PyCharm;Vim,Windows;Windows Subsystem for Linux (WSL),Red Hat;Windows,Confluence;Markdown File,,Cisco Webex Teams;Slack;Whatsapp,Cisco Webex Teams;Slack,,,,,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",,"No, but I plan to soon",Indifferent,,Highly distrust,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,72701.0
3274,3275,I agree,I am a developer by profession,18-24 years old,"Employed, full-time",Remote,Hobby;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Stack Overflow,Udemy,6,2,"Developer, full-stack","10,000 or more employees",I have little or no influence,,Ask developers I know/work with;Visit developer communities like Stack Overflow,India,INR	Indian rupee,2300000.0,Java;JavaScript;Python;TypeScript,Java;JavaScript;Python;TypeScript,Dynamodb;H2;InfluxDB;MySQL;PostgreSQL;Redis;SQLite,Dynamodb;H2;InfluxDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Fly.io;Heroku;Vercel,Amazon Web Services (AWS);Fly.io;Vercel,Django;FastAPI;Flask;Next.js;React;Spring Boot,Django;FastAPI;Next.js;React;Spring Boot,Apache Kafka,Apache Kafka,Docker;Homebrew;Make;Maven (build tool);npm;Webpack,Docker;Homebrew;Make;Maven (build tool);npm;pnpm;Vite,IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;PyCharm;Sublime Text;Vim;Visual Studio;WebStorm,IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Neovim;PyCharm;Sublime Text;Vim;Visual Studio;WebStorm,MacOS,MacOS,,,Slack,Slack,ChatGPT,ChatGPT;Google Bard AI,GitHub Copilot,AWS CodeWhisperer;GitHub Copilot,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, definitely","Maybe AI could detect similar questions better. For more generic questions (where the concrete discussion doesn't revolve around code), AI could be useful to drive some answers.","No, but I plan to soon",Favorable,,Neither trust nor distrust,,,,,,,,,Yes,Individual contributor,2.0,Agree,Disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,1-2 times a week,1-2 times a week,3-5 times a week,30-60 minutes a day,15-30 minutes a day,DevOps function;Microservices;Automated testing;Observability tools;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;AI-assisted technology tool(s),"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,27869.0
3342,3343,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Books;Written-based Online Courses,Udemy,11,7,"Developer, full-stack","10,000 or more employees",I have little or no influence,,Ask developers I know/work with;Visit developer communities like Stack Overflow,India,INR	Indian rupee,1800000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,Go,Elasticsearch;MongoDB;MySQL;PostgreSQL;SQLite,MongoDB;Neo4J,Amazon Web Services (AWS);Google Cloud;OpenStack,Firebase;Microsoft Azure,Angular;Flask,FastAPI,Opencv;Pandas;Scikit-Learn,,Docker,,Notepad++;Visual Studio Code,Jupyter Notebook/JupyterLab;Notepad++;Visual Studio Code,Red Hat;Windows,,Jira,,Microsoft Teams;Zoom,,,,,,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",,"No, but I plan to soon",Very favorable,,Neither trust nor distrust,,,,,,,,,No,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,21810.0
4594,4595,I agree,I am a developer by profession,18-24 years old,"Employed, full-time",Remote,Hobby;Contribute to open-source projects;Bootstrapping a business;Other (please specify):,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hackathons (virtual or in-person);Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)","Formal documentation provided by the owner of the tech;Recorded coding sessions;How-to videos;Online challenges (e.g., daily or weekly coding challenges);Stack Overflow",Udemy;Coursera,3,2,Research & Development role,10 to 19 employees,I have some influence,Investigate,,India,INR	Indian rupee,2200000.0,C++;Python;SQL,HTML/CSS;JavaScript;Rust,Microsoft SQL Server;MySQL;SQLite,Cockroachdb;MongoDB;Neo4J,Microsoft Azure,Amazon Web Services (AWS),Flask,AngularJS;FastAPI;Node.js;React,Apache Spark;NumPy;Pandas,,Chocolatey;Docker;Kubernetes;Pip;Yarn,,Jupyter Notebook/JupyterLab;Notepad++;Visual Studio Code,,Windows,Windows;Windows Subsystem for Linux (WSL),Azure Devops;Jira,,Google Meet;Microsoft Teams;Telegram;Whatsapp;Zoom,,Bing AI;ChatGPT,,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,Duplicate question accuracy,Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning,Somewhat trust,Project planning;Documenting code,Learning about a codebase;Writing code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring,Collaborating with teammates ,,Learning about a codebase;Committing and reviewing code;Deployment and monitoring,,Writing code,Learning about a codebase;Debugging and getting help;Testing code,Yes,Individual contributor,2.0,Strongly agree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Never,3-5 times a week,Never,30-60 minutes a day,60-120 minutes a day,DevOps function;Microservices;Automated testing;Observability tools;Innersource initiative;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Financial Services,Too long,Easy,26657.0
4719,4720,I agree,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Written Tutorials;Stack Overflow,,16,12,DevOps specialist,100 to 499 employees,I have some influence,Investigate,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,India,INR	Indian rupee,5000000.0,Python;Ruby,Python;Ruby,Redis;SQLite,Redis;SQLite,Amazon Web Services (AWS);Google Cloud,Amazon Web Services (AWS);Google Cloud,,,Pandas,,,,PyCharm,PyCharm,MacOS;Red Hat,MacOS;Red Hat,GitHub Discussions;Jira,GitHub Discussions;Jira,Cisco Webex Teams;Google Chat;Google Meet;Slack;Whatsapp;Zoom,Cisco Webex Teams;Google Chat;Google Meet;Slack;Whatsapp,,,,,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),Daily or almost daily,Yes,A few times per week,"Yes, definitely",,"No, but I plan to soon",Favorable,,Neither trust nor distrust,,,,,,,,,No,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,60584.0
4757,4758,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Recorded coding sessions;How-to videos;Online challenges (e.g., daily or weekly coding challenges);Stack Overflow",,10,3,"Developer, full-stack","10,000 or more employees",I have some influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Ask a generative AI tool,India,INR	Indian rupee,3500000.0,C;C++;HTML/CSS;Java;JavaScript;Kotlin;Lua;Python;Rust;TypeScript,Go;HTML/CSS;Lua;Python;Rust;TypeScript,Cassandra;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis,Cassandra;Elasticsearch;MongoDB;PostgreSQL;Redis;Supabase,"Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Heroku;Linode, now Akamai","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Fly.io;Linode, now Akamai",Django;FastAPI;Flask;Node.js;Svelte,Deno;Node.js;Svelte,Qt,Apache Kafka;Flutter;GTK;RabbitMQ;Tauri,Cargo;Chocolatey;CMake;Docker;GNU GCC;Homebrew;Kubernetes;LLVM's Clang;Make;Maven (build tool);Ninja;npm;Pacman;Vite,Cargo;Docker;Homebrew;Kubernetes;LLVM's Clang;npm;Vite,Android Studio;Atom;CLion;Code::Blocks;Geany;IntelliJ IDEA;Nano;Neovim;PyCharm;Qt Creator;Vim;Visual Studio Code,Helix;Neovim;Visual Studio Code;Xcode,iOS;MacOS,iOS;MacOS,Confluence;GitHub Discussions;Jira;Markdown File;Wikis,Confluence;GitHub Discussions;Jira;Markdown File;Wikis,Cisco Webex Teams;Discord;Google Meet;Microsoft Teams;Slack;Telegram;Whatsapp;Zoom,Cisco Webex Teams;Discord;Google Meet;Microsoft Teams;Slack;Telegram;Whatsapp;Zoom,ChatGPT;WolframAlpha,ChatGPT,,,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,A few times per month or weekly,"Yes, definitely",Finding similar questions while a new question is being posted so as to avoid duplicate label manually by community,"No, and I don't plan to",,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,42409.0
4988,4989,I agree,I am a developer by profession,18-24 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hackathons (virtual or in-person);Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Stack Overflow",,5,1,"Developer, back-end",10 to 19 employees,I have a great deal of influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,India,INR	Indian rupee,2300000.0,C;C++;Java;JavaScript;Python;SQL,Go;Java;JavaScript;Kotlin;Python;SQL;TypeScript,BigQuery;Clickhouse;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,BigQuery;Clickhouse;Dynamodb;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Google Cloud;Heroku,Cloudflare;Fly.io;Google Cloud,FastAPI;Flask;Vue.js,FastAPI;Flask;jQuery;Vue.js,Hugging Face Transformers;Keras;NumPy;Quarkus;TensorFlow;Torch/PyTorch,NumPy;Pandas;Quarkus,Chocolatey;Docker;Homebrew;Kubernetes;Maven (build tool);npm;Pip;pnpm,Docker;Homebrew;Kubernetes;Maven (build tool);npm;Pip;pnpm,Android Studio;IntelliJ IDEA;Jupyter Notebook/JupyterLab;PyCharm;Visual Studio Code,IntelliJ IDEA;Jupyter Notebook/JupyterLab;PyCharm;Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),MacOS,Linear;Notion,Linear;Notion,Google Chat;Google Meet;Microsoft Teams;Slack,Google Chat;Google Meet;Slack,ChatGPT,ChatGPT;Phind,,,Stack Overflow;Stack Exchange,A few times per week,Not sure/can't remember,,"Yes, somewhat",AI could help answers repeated questions and moderate answer sentiments.,Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning,Somewhat trust,Documenting code;Debugging and getting help;Testing code;Deployment and monitoring,Writing code;Debugging and getting help,Learning about a codebase;Project planning;Testing code;Committing and reviewing code;Collaborating with teammates ,Debugging and getting help,,,,Writing code,Yes,Individual contributor,1.0,Strongly agree,Disagree,Agree,Agree,Strongly agree,Disagree,Neither agree nor disagree,Agree,1-2 times a week,6-10 times a week,1-2 times a week,30-60 minutes a day,30-60 minutes a day,Microservices;AI-assisted technology tool(s),"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,27869.0
5152,5153,I agree,I am a developer by profession,18-24 years old,"Employed, full-time",In-person,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Written Tutorials;Stack Overflow,,7,1,"Developer, back-end","1,000 to 4,999 employees",I have some influence,Investigate,Ask developers I know/work with;Visit developer communities like Stack Overflow;Other (please specify):;Read ratings or reviews on third party sites like G2 Crowd,India,INR	Indian rupee,2700000.0,Bash/Shell (all shells);Kotlin;Python;Rust;SQL,Bash/Shell (all shells);Kotlin;Python;Rust;SQL,PostgreSQL;Redis;SQLite,PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Oracle Cloud Infrastructure (OCI),Amazon Web Services (AWS);Cloudflare;Oracle Cloud Infrastructure (OCI),FastAPI,FastAPI,,,Cargo;Docker;Homebrew;Kubernetes;Pacman;Pip;Terraform,Cargo;Docker;Homebrew;Kubernetes;Pacman;Pip;Terraform,Android Studio;Micro;Nano;Visual Studio Code,Micro;Nano;Visual Studio Code,Android;Arch,MacOS;Ubuntu;Windows Subsystem for Linux (WSL),Confluence;GitHub Discussions;Jira;Notion,Confluence;GitHub Discussions;Jira;Notion,Discord;Google Meet;Microsoft Teams;Slack;Telegram;Whatsapp,Discord;Google Meet;Slack;Telegram;Whatsapp,,,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Neutral,,"No, and I don't plan to",,,,,,,,,,,,Yes,Individual contributor,1.0,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,1-2 times a week,1-2 times a week,Never,30-60 minutes a day,15-30 minutes a day,DevOps function;Microservices;Observability tools;Continuous integration (CI) and (more often) continuous delivery,Financial Services,Appropriate in length,Easy,32716.0
